0.16 0.76 0.00000
0.16 0.78 0.00000
0.16 0.80 0.00000
0.16 0.82 0.00000
0.16 0.84 0.00000
0.16 0.86 0.00000
0.16 0.88 0.00000
0.16 0.90 0.00000
0.16 0.92 0.00000
0.16 0.94 0.00000
0.16 0.96 0.00000
0.16 0.98 0.00000
0.18 0.02 1.00000
0.18 0.04 1.00000
0.18 0.06 1.00000
0.18 0.08 0.99999
0.18 0.10 0.99998
0.18 0.12 0.99999
0.18 0.14 0.99995
0.18 0.16 0.99997
0.18 0.18 0.99995
0.18 0.20 0.99991
0.18 0.22 0.99993
0.18 0.24 0.99992
0.18 0.26 0.99980
0.18 0.28 0.99965
0.18 0.30 0.99966
0.18 0.32 0.99915
0.18 0.34 0.99849
0.18 0.36 0.99583
0.18 0.38 0.99181
0.18 0.40 0.97475
0.18 0.42 0.91663
0.18 0.44 0.68276
0.18 0.46 0.30916
0.18 0.48 0.08083
0.18 0.50 0.02075
0.18 0.52 0.00729
0.18 0.54 0.00288
0.18 0.56 0.00110
0.18 0.58 0.00035
0.18 0.60 0.00012
0.18 0.62 0.00006
0.18 0.64 0.00005
0.18 0.66 0.00001
0.18 0.68 0.00000
0.18 0.70 0.00000
0.18 0.72 0.00000
0.18 0.74 0.00000
0.18 0.76 0.00000
0.18 0.78 0.00000
0.18 0.80 0.00000
0.18 0.82 0.00000
0.18 0.84 0.00000
0.18 0.86 0.00000
0.18 0.88 0.00000
0.18 0.90 0.00000
0.18 0.92 0.00000
0.18 0.94 0.00000
0.18 0.96 0.00000
0.18 0.98 0.00000
0.20 0.02 1.00000
0.20 0.04 1.00000
0.20 0.06 1.00000
0.20 0.08 1.00000
0.20 0.10 1.00000
0.20 0.12 1.00000
0.20 0.14 1.00000
0.20 0.16 1.00000
0.20 0.18 0.99999
0.20 0.20 0.99996
0.20 0.22 0.99998
0.20 0.24 0.99999
0.20 0.26 0.99994
0.20 0.28 0.99992
0.20 0.30 0.99991
0.20 0.32 0.99966
0.20 0.34 0.99940
0.20 0.36 0.99904
0.20 0.38 0.99724
0.20 0.40 0.99325
0.20 0.42 0.97695
0.20 0.44 0.87940
0.20 0.46 0.58512
0.20 0.48 0.19748
0.20 0.50 0.03908
0.20 0.52 0.01114
0.20 0.54 0.00392
0.20 0.56 0.00147
0.20 0.58 0.00064
0.20 0.60 0.00021
0.20 0.62 0.00008
0.20 0.64 0.00002
0.20 0.66 0.00002
0.20 0.68 0.00000
0.20 0.70 0.00001
0.20 0.72 0.00000
0.20 0.74 0.00000
0.20 0.76 0.00000
0.20 0.78 0.00000
0.20 0.80 0.00000
0.20 0.82 0.00000
0.20 0.84 0.00000
0.20 0.86 0.00000
0.20 0.88 0.00000
0.20 0.90 0.00000
0.20 0.92 0.00000
0.20 0.94 0.00000
0.20 0.96 0.00000
0.20 0.98 0.00000
0.22 0.02 1.00000
0.22 0.04 1.00000
0.22 0.06 1.00000
0.22 0.08 1.00000
0.22 0.10 1.00000
0.22 0.12 1.00000
0.22 0.14 1.00000
0.22 0.16 1.00000
0.22 0.18 1.00000
0.22 0.20 1.00000
0.22 0.22 1.00000
0.22 0.24 0.99998
0.22 0.26 1.00000
0.22 0.28 0.99999
0.22 0.30 0.99993
0.22 0.32 0.99994
0.22 0.34 0.99985
0.22 0.36 0.99947
0.22 0.38 0.99915
0.22 0.40 0.99777
0.22 0.42 0.99307
0.22 0.44 0.97038
0.22 0.46 0.81341
0.22 0.48 0.43322
0.22 0.50 0.10329
0.22 0.52 0.01737
0.22 0.54 0.00601
0.22 0.56 0.00194
0.22 0.58 0.00070
0.22 0.60 0.00026
0.22 0.62 0.00012
0.22 0.64 0.00005
0.22 0.66 0.00001
0.22 0.68 0.00000
0.22 0.70 0.00000
0.22 0.72 0.00000
0.22 0.74 0.00000
0.22 0.76 0.00000
0.22 0.78 0.00000
0.22 0.80 0.00000
0.22 0.82 0.00000
